,text
37,"<|startoftext|>Teleplay by: Michael Curti Story by: Seth Kurlan Transcribed by: Eric Aase [Scene: Central Perk, the gang is there, Phoebe is returning from the bathroom. Phoebe: (angrily) Thats like the tenth time Ive peed since Ive been here Monica: Thats also like the tenth time you told us Phoebe: Yeah, oh Im sorry, it must be really hard to hear! I tell ya, its a lot easier having three babies play Bringing in the Noise, Bringing in da Funk on your bladder! Im so sick of being pregnant! The only happiness I get is from a cup of coffee, which of course is decaf, causeOh! Im pregnant Ross: Pheebs, didyou want a cookie Phoebe: (starting to cry) Thank you so much Rachel: So uh, Pheebs, honey, how are those mood swings coming Phoebe: I havent really had any yet (Monica, Joey, and Chandler all shake their heads. OPENING CREDIT [Scene: Chandler and Joey's, Joey and Chandler are there as Ross enters. Ross: Hey guys Chandler: Hey Joey: Hey Ross: All right, heres the ring. (Shows Chandler the wedding ring he plans on giving Emily Chandler: (shocked) Yes! Yes! A thousand times, yes Ross: So uh, any ideas for the bachelor party yet Joey: Whoa-whoa-whoa! Before you start handing out wedding rings and planning bachelor parties, dont you have to decide who your best man is gonna be Chandler: Oh, its awkward. Its awkward. Its awkward Ross: I sortve already asked Chandler Joey: What?! He got to do it at your first wedding Ross: Joey, I figured youd understand. I mean, I-Ive known him a lot longer<|endoftext|>"
38,"<|startoftext|>Teleplay by: Greg Malin Story by: Scott Silver Transcribed by: Eric Aase [Scene: Central Perk, Gary, Phoebe, Monica, and Chandler are there. Gary: (To Phoebe) Would you like some more coffee, baby-doll Phoebe: I'm fine, thanks Chandler: (To Monica) Yeah, see, I can't pull of baby-doll can I Monica: No. I think we learned that from the sugarlips incident. I'm gonna get some tea Chandler: Okay (Monica leaves and Chandler moves to talk to Phoebe. Chandler: Hiya doin' pumpkin Phoebe: Nope. (Chandler nods in agreement. [Cut to Gary and Monica at the counter. Monica: So it looks like it's going really well for you two, huh Gary: I know, really well. In fact, I'm gonna ask Phoebe to move in with me Monica: (shocked) Oh my God Gary: What do you, what do you think Monica: I think that is so great! When are you gonna ask her Gary: Tonight, but don't say anything. Okay Monica: I swear, I promise. I promise. Oh my God, I'm so excited! {And I just can't hide it! I'm about to lose control and I think I like it! Sorry, just couldn't resist it.} All right, listen let me tell you, do not get her flowers. Okay? Because y'know, she cries when they die, and there's the whole funera Gary: (To Phoebe) I'll see you after work sweetie. (Kisses her. Phoebe: Okay. Bye (Gary exits and Monica rejoins them. Phoebe: So, what movie should we see Monica: (sitting down) Gary's gonna ask you to move in with him!<|endoftext|>"
39,"<|startoftext|>Originally written by Betsy Borne Transcribed by Joshua Hodge Minor additions and adjustments by Dan Silverstein [Scene: Chandler and Joey's apartment. Chandler and Joey are sitting at the bar, in their bathrobes, eating cereal JOEY: Man this is weird. You ever realize Captain Crunch's eyebrows are actually on his hat CHANDLER: That's what's weird? Joey, the man's been captain of a cereal for the last 40 years [Joey finishes his cereal, licks his spoon, and puts it back in the silverware drawer. CHANDLER: Waaa-aaah JOEY: What CHANDLER: The spoon. You licked and-and you put. You licked and you put JOEY: Yeah, so CHANDLER: Well don't you see how gross that is? I mean that's like you using my toothbrush. [Joey gets a sheepish look] You used my toothbrush JOEY: Well, that was only 'cause I used the red one to unclog the drain CHANDLER: Mine is the red one! Oh God. Can open, worms everywhere JOEY: Hey, why can't we use the same toothbrush, but we can use the same soap CHANDLER: Because soap is soap. It's self-cleaning JOEY: Alright, well next time you take a shower, think about the last thing I wash and the first thing you wash OPENING TITLE [Scene: Monica and Rachel's apartment. Monica and Phoebe are sitting at the table, Joey and Chandler enter. CHANDLER: Hey MONICA and PHOEBE: Hey JOEY: Hey PHOEBE: Ooh, look at you fancy lads. What's the occasion JOEY: Well, you know that guy that's on my show that's in a coma? He's havin' a brunch PHOEBE: Ahh<|endoftext|>"
40,"<|startoftext|>Transcribed by Ruth Curran Converted to HTML by Dan Silverstein [Scene: Central Perk. Rachel is working, Monica is drinking coffee. MNCA: Rach, why does my swizzel stick have an eraser [Rachel checks behind her ear, and finds a swizzel stick. She takes the pencil out of Monica's coffee. RACH: Oh! That's why. I'm sorry [Monica puts her cup down in disgust. Opening Credit [Scene: Chandler's job. Chandler is typing data into his computer. One of his co-workers walks by. WOMAN: Chandler CHAN: Ms. Tedlock. You're looking lovely today. And may I say, that is a very flattering sleeve length on you WOMAN: Yeah. Well, Mr. Kostelick wants you to stop by his office at the end of the day CHAN: Oh, listen. If this is about those prank memos, I had nothing to do with them. Really. Nothing at all. Really [Chandler tries to hide a rubber chicken from the woman. [Scene: Central Perk. Everyone is there but Chandler. Phoebe runs in, excitedly. PHOE: Hey guys, guys! Chandler's coming and he says he has, like, this incredible news, so when he gets here, we could all act like, you know.. [Chandler comes in. CHAN: Hey ALL: Hey PHOE: Never mind. But it was going to be really good ROSS: What's going on ALL: What is it CHAN: So, it's a typical day at work. I'm putting in my numbers, and then big Al calls me into his office and tells me he wants to make me processing supervisor ALL: That's great CHAN: So.... I quit<|endoftext|>"
41,"<|startoftext|>Written by: Andrew Reich & Ted Cohe Transcribed by: Eric Aase [Scene: Monica, Chandler, and Phoebe's, everyone is there having breakfast and Joey enters carrying a loaf of bread. Joey: Hey Ross: Hi Joey: Who wants French toast Ross: Oh, Ill have some Joey: Good, me too. (Tosses him the loaf.) Eggs and milk are in the fridge. Thanks Monica: (entering from her room) Oww Chandler: Whats the matter honey Monica: I dont know, my hand feels weird. I guess its because, Im engaged! (Shows off the ring.) How long before it starts getting annoying Phoebe: It starts Rachel: Yeah, so lets get started on the wedding plans Monica: Okay! (Runs off. Chandler: (incredulous) Already? Rachel: Yeah, we got a lot to do! We gotta think about the flowers, the caterers, the musi Chandler: Oh, I got some thoughts on that Rachel: Oh wait Chandler, too many cook Ross: Take it from me, as the groom all you have to do is show up and try to say the right name Monica: (returning) Okay! (Sets down a huge 3"" 3-ring binder on the table. Chandler: What in Gods name is that? Ross: Oh my God, the wedding book?! I havent seen that since the forth grade Monica: This baby has got everything. Take yknow, locations for instance. (She opens up the binder to the locations chapter.) First, organized alphabetically, then geographically, then by square footage Phoebe: That is so smart! (To Chandler, under her breath) Break it off. Break it off now Opening Credit<|endoftext|>"
42,"<|startoftext|>Teleplay by: Seth Kirklan Story by: Michael Curti Transcribed by: Eric Aase [Scene: Chandler's bedroom, he is giving Monica a massage. Monica: I can't believe we've never done this before! It's sooo good! So good for Monica (Chandler picks up the timer being used and turns it to zero at which it chimes. Chandler: Oh! Look at that, time's up! My turn Monica: That was a half an hour Chandler: It's your timer (They change places. Monica: Y'know, I don't like to brag about it, but I give the best massages Chandler: All right, then massage me up right nice (She starts the massage, only she is doing extremely hard and Chandler is gasping in pain. Chandler: Ah! Ahh!! Ahh! Monica: It's so good, isn't it Chandler: It's so good I don't know what I've done to deserve it Monica: Say good-bye to sore muscles Chandler: Good-bye muscles! Opening Credit [Scene: Central Perk, Chandler and Joey are sitting on the couch. Chandler: I'm telling you, she gives the worst massages ever!! Okay, it was like she was torturing me for information. And I wanted to give it up I justI didn't know what it was Joey: Chandler, if it really hurts that bad you should just tell her Chandler: Look, for the first time in my life I'm in a real relationship. Okay, I'm not gonna screw that up by y'know, telling the truth Ross: (walking up with Rachel and carrying coffee) Hey Joey: Whoa, dude, look out! You almost crushed my hat! (He picks a hat up from the floor. It's one of those magician stovepipe hats.<|endoftext|>"
43,"<|startoftext|>Written by: Wil Calhou Transcribed by: Eric Aase Joey: (lying on a beach towel, recapping what happened in the last episode) Okay, so we went to the beach, because Phoebe found out about this lady who knew her mom and dad, and I dont really know what happened with that [cut to Phoebe Sr.s house, from the last episode Phoebe Sr.: (to Phoebe) Im your mother Phoebe: Ehh [cut to Monica opening the door of the beach house, with Chandler trying to pick her up for a date. Joey: (voice-over) Oh, and then Monica joked that she wouldnt go out with a guy like Chandler.. Chandler: (to Monica) (in a funny voice) Hi there. (Monica turns her head away in disgust Joey: (voice-over) ...and he couldnt let it go, and... I dont really know what happened with that either. [cut to a montage of scenes involving Bonnie, Ross, and Rachel from the last episode. Joey: (voice-over) Oh-oh! And then Rosss new girlfriend, Bonnie, shows up and Rachel convinced her to save her head. And then Ross and Rachel kiss, and now Ross has to choose between Rachel and the bald girl and I dont know what happened there either... [cut back to Joey on the beach towel Joey: Y'know what, hold on, let me go get Chandler. (gets up and leaves. [Scene: The beach house, its the same scene from the end of last year, with Ross in front of the two doors of Rachels and Bonnies rooms, trying to decide which door to choose. He finally chooses the one his right and goes in. Ross: (surprised) Hi Rachel and Bonnie: Hi Bonnie: Rachel was just helping me out. My head got all sunburned Ross: Awww Bonnie: (to Rachel) Thanks a million Rachel: Oh, youre welcome a million Bonnie: (getting up and leaving) (to Ross) Okay, Ill see you in our room Ross: Yeah. (closes the door, and goes over and kisses Rachel. Rachel: (softly) Oh my God Ross: I know<|endoftext|>"
44,"<|startoftext|>Originally written by Jeffrey Astrof and Mike Sikowitz.  Transcribed by Dan Silverstein. Special thanks to Nancy Brown, who pointed out that 'crudites' is not French. : [The whole gang is helping Rachel mail out resumes while whistling the theme from The Bridge on the River Kwai. Ross: Uh, Rach, we're running low on resumes over here Monica: Do you really want a job with Popular Mechanics Chandler: Well, if you're gonna work for mechanics, those are the ones to work for Rachel: Hey, look, you guys, I'm going for anything here, OK? I cannot be a waitress anymore, I mean it. I'm sick of the lousy tips, I'm sick of being called 'Excuse me... Ross: Rach, did you proofread these Rachel: Uh... yeah, why Ross: Uh, nothing, I'm sure they'll be impressed with your excellent compuper skills Rachel: [upset] Oh my Goood! Oh, do you think it's on all of them Joey: Oh no, I'm sure the Xerox machine caught a few Credit [Scene: Central Perk. Ross and Chandler are sitting at a table. Rachel is working. Monica and Phoebe enter. Monica: Hey, guys Chandler, Ross: Hey Rachel: Hey... hi, ladies... uh, can I get you anything? [to Monica, quietly]: Did you bring the mail Monica: Lots of responses Rachel: [to Monica]: Really? [out loud]: Sure, we have scones left! [to Monica]: OK, read them to me Phoebe: [reading]: Dear Ms. Green, thank you for your inquiry, however... oh... [crumples up letter Rachel: [out loud]: We have apple cinnamon.. Monica: [reading]: OK... Dear Ms. Green... yeah... yeah... yeah... No. [crumpes up letter Phoebe: Wow Rachel: What Phoebe: [reading]: Your Visa bill is huge<|endoftext|>"
45,"<|startoftext|>Written by: Seth Kirklan Transcribed by: Eric Aase With Help from: Darcy Partridg Episodes Orginally Transcribed by: guineapig, Ruth Curran, Mindy Mattingly Phillips, Josh Hodge,  Dan Silverstein, and Eric Aasen [Scene: Central Perk, Joey and Chandler are sitting and talking. Chandler: Yknow what? It seems like all of the sudden; so much has happened Joey: I know. Ross is getting married Chandler: Phoebe is, making people Joey: Everybodys doing stuff Chandler: And we just sit here. I mean if I die the only way people would even know I was here, would be by the ass print on this chair! Look, we have to do something. Okay? Something huge Joey: (snaps his fingers) We could climb Mt. Everest Chandler: No-no, not something stupid, something huge Joey: No-no-no-no-no, I saw an ad for this video, people climb that thing everyday! We could totally do that Chandler: Why not?! I mean its just, its just climbing! Its just, its just steep Joey: Yeah Chandler: Were going to Everest! Okay, it would be nice to leave an ass print on Everest Phoebe: (entering) Hey Joey: Hey Phoebe: What-whats up Joey: Were gonna climb Mt. Everest Chandler: Yeah baby Phoebe: Really?! I looked into that. Yeah, but, I mean it costs like $60,000 and yknow you can die. And, you would die Chandler: (dejected) Yeah, wel Joey: We could get that Everest video though Chandler: Yeah, we could do that without yknow risking our lives at all<|endoftext|>"
46,"<|startoftext|>Originally written by  Transcribed by Joshua Hodge [Scene: Chandler's bedroom. Chandler is sleeping and Eddie is there watching him. [Chandler wakes up CHANDLER: Hey Eddie. Daahh!! What're you doin' here EDDIE: Nothin' roomie, just watchin' you sleep CHANDLER: Why EDDIE: Makes me feel um, peaceful, heh-heh, please CHANDLER: I can't sleep now EDDIE: You want me to sing CHANDLER: No, look, that's it, it's over, I want you out, I want you out of the apartment now EDDIE: Woah, woah, woah, what're, what're you talkin' about man CHANDLER: Hannibal Lecter...better roommate than you EDDIE: No. See now I don't think you're being fair. I mean one night you see me and you get scared, I mean, what about all the other nights when you don't see me, huh? What about last night when you went and got a drink of water and I was nice enough to hide behind the door, what's that about, huh CHANDLER: I didn't realize that EDDIE: Yeah CHANDLER: GET OUT NOW! EDDIE: Ok, you really want me out CHANDLER: Yes please EDDIE: Ok, then I want to hear you say it, I, I want to hear you say you want me out CHANDLER: I want you out EDDIE: No no no, I wanna hear it from your lips CHANDLER: Where did you hear it from before EDDIE: Oh, right, all right, you know what pallie I understand, consider me gone, you know what, I'll be out by the time you get home from work tomorrow [Eddie leaves the room and Chandler mouths ""Thank you"" to himself<|endoftext|>"
47,"<|startoftext|>Written by: Seth Kurlan Transcribed by: Eric Aase [Scene: Rosss Wedding, continued from last season, the Minister is about to marry Ross and Emily. Minister: Friends. Family. We are gathered to celebrate here today the joyous union of Ross and Emily. (Time lapse) Now Ross, repeat after me. I Ross.. Ross: I Ross.. Minister: Take thee, Emily.. Ross: Take thee, Rachel...(All his friends have looks of shock on their faces. He realizes what he said. Quickly he says.) Emily. (A slight chuckle.) Emily Minister: (Looking and feeling awkward. he looks towards Emily.) Uhh...Shall I go on Rachel: (To the woman sitting in front of her) He-he said Rachel, right? Do you think I should go up there Emily: Yes, yes, do go on Minister: I think wed better start again. Ross, repeat after me. I, Ros Ross: I, Ros Minister: Take thee, EM-I-L Ross: Take thee, (Glares at the Minister) Emily. (Chuckles) Like thered be anybody else. (Emily is glaring at him. Minister: As my lawfully wedded wife, in sickness and in health, till death parts us Ross: As my lawfully wedded wife, in sickness and in health, until death parts us. Really, I do. Emily. (Points at her. Minister: May I have the rings? (He is given the rings) Emily, place this ring on Rosss finger as a symbol of your bond everlasting. (She jams the ring onto his finger) Ross, place this ring in Emilys hand as a symbol of the love that encircles you forever Ross: Happy too Minister: Ross and Emily have made their declarations and it gives me great pleasure to declare them husband and wife Ross: Yay Minister: You may kiss the bride (He goes to kiss her, but she isnt very receptive of the kiss. She keeps avoiding him, until Ross finally gets to kiss her on her cheek. Mrs. Geller: (To Mr. Geller) This is worse than when he married the lesbian (The band starts to play, and the recessional starts. Ross tries to take Emilys hand, but she snatches it away from him. Emily: Just keep smiling<|endoftext|>"
48,"<|startoftext|>Written by: Ira Ungerleide Transcribed by: Eric Aase [Scene: Rachel and Monica's, everyone is getting ready to go to a banquet Joey: All right they got water, orange juice, and what looks like cider. (takes a glass from the fridge. Chandler: Taste it Joey: (drinks from the glass and puts it back in the fridge) Yep, it's fat. I drank fat Chandler: Yeah, I know, I did that two minutes ago Ross: (entering) Hey Chandler: Hey, mister tux Ross: Why aren't you guys dressed Joey: We have a half hour Ross: No, four minutes ago you had a half hour, we have to be out the door at twenty to eight Joey: Relax Ross, we'll be ready. It only takes us two minutes to get dressed Ross: Well, you know, I'd feel a whole lot better if you got dressed now Chandler and Joey: Okay. (they don't move Rachel: (entering from bathroom) Hey-hey! Oh, look at you, all sexy Ross: Really Rachel: Ooooh! Wow!! Oh, hi Ross: Hi Rachel: How come you didn't come over earlier Ross: 'Cause, I'm a stupid, stupid man Joey: Hey, Ross, want some cider Ross: No. (to Rachel) So, um, let's see your pretty close, huh. Make-up's on, hair's done Rachel: Yeah, I just have to get dressed Ross: Yay! And that takes what? Just six or seven minutes<|endoftext|>"
49,"<|startoftext|>Written by: Seth Kurlan Transcribed by: Eric Aase [Scene: Central Perk, all but Chandler are there, Joey laughs for no apparent reason. Monica: (to Joey) Whats so funny Joey: Oh, nothing, no. Its an acting exercise, Im practising my fake laugh Monica: Oh. (she laughs Joey: What-whats so funny (Chandler enters with a cigarette. Gunther: (to Chandler) Oh, no-no, no-no-no, theres none of that in here Chandler: Oh come on man! At least let me finish this last one Gunther: Okay, but only if you give me a drag Chandler: Okay (Chandler hands him the cigarette, and he takes a long drag. Gunther: Oh dark mother, once again I suckle at your smokey tit. (hands Chandler back the cigarette. Chandler: No-no, why dont you hang on to that one (He goes and sits down next to Rachel and puts a cigarette in his mouth, which Rachel takes away from him. He puts another cigarette in his mouth, and Rachel takes it away again. Chandler: Okay, thats like the least fun game ever Rachel: Well, Im really sick of your smoking, so I brought something that is going to help you quit. (hands him an audio cassette Chandler: Oh. (takes the cassette and puts it on his arm like the stop smoking patch, and it falls off.) Nope, that patch is no good. (Joey and Monica both do their fake laughs. Rachel: Come on, its a hypnosis tape. This woman at work used it for two weeks straight and she hasnt smoked since Ross: Pffhah Rachel: (to Ross) Whats your problem Ross: Nothing, its just that hypnosis is beyond crap Rachel: Ross, I watched you get hypnotised in Atlantic City Ross: Hey, that guy did not hypnotise me! Okay<|endoftext|>"
50,"<|startoftext|>Written by: Seth Kurlan Transcribed by: Eric Aase [Scene: Central Perk, the whole gang is there, Ross is telling a story about what happened at work and the rest of the gang are thinking to themselves, denoted by italics. Ross: So I told Carl, Nobody, no matter how famous their parents are, nobody is allowed to climb on the dinosaur. But of course this went in one ear and out.... Rachel: I love how he cares so much about stuff. If I squint I can pretend hes Alan Alda Monica: Oh good, another dinosaur story. When are those gonna become extinct Chandler: If I was a superhero who could fly and be invisible, that would be the best Gunther: What does Rachel see in this guy? I love Rachel. I wish she was my wife (Joey is singing in his head. Phoebe: Whos singing Opening Credit [Scene: Monica and Rachel's, the whole gang is there including Janice, theyre watching Happy Days. Ross: Hey. When you guys were kids and you played Happy Days, who were you? I was always Richie Monica: I was always Joanne Joey: Question. Was ah, Egg the Gellers! the war cry of your neighbourhood (A commercial for the Mattress King, Janices ex-husband, comes on TV. Phoebe: Ewww! Oh! Its the Mattress King Joey: Booo! Chandler: (to Janice) Dont look honey. Change the channel! Change the channel Janice: Wait! Wait! I wanna see this. After I divorce him, half of that kingdom is gonna be mine Matress King: (on TV) Despair fills the mattress showroom. My kingdom is suddenly without a queen. Im so depressed Im going to slash... my prices!! Check it out! Four ninety-nine for a pillow top queen set! Im going medieval on prices Chandler: What a wank Janice: Oh, I cannot believe hes using our divorce to sell mattresses Monica: I know! And four ninety-nine for a pillow top queen set, who cares about the divorce, those babies will sell themselves. (they all stare at her) And Im appalled for you by the way Matress King: (on TV) Im close. Im cheap. Im the king<|endoftext|>"
51,"<|startoftext|>Originally written by Jeff Greenstein & Jeff Straus Transcribed by Mindy Mattingly Phillips [mmatting@indiana.edu]. Minor additions and adjustments by Dan Silverstein [Scene: Central Perk. All six are there. MNCA: Would you let it go? It's not that big a deal ROSS: Not that big a deal? It's amazing. Ok, you just reach in there, there's one little maneuver, and bam, a bra right out the sleeve. All right, as far as I'm concerned, there is nothing a guy can do that even comes close. Am I right RACH: Come on! You guys can pee standing up CHAN: We can? All right, I'm tryin' that JOEY: Ok, you know what blows my mind? Women can see breasts any time they want. You just look down and there they are. How you get any work done is beyond me PHOE: Oh, ok, you know what I don't get? The way guys can do so many mean things, and then not even care [Long pause. ROSS: Multiple orgasms Opening Credit [Scene: Central Perk. All are there. CHAN: So, Saturday night, the big night, date night, Saturday night, Sat-ur-day night JOEY: No plans, huh CHAN: Not a one ROSS: Not even, say, breaking up with Janice CHAN: Oh, right, right, shut up MNCA: Chandler, nobody likes breaking up with someone. You just gotta do it CHAN: No, I know, but it's just so hard, you know? I mean, you're sitting there with her, she has no idea what's happening, and then you finally get up the courage to do it, and there's the horrible awkward moment when you've handed her the note JOEY: Why do you have to break up with her? Be a man, just stop calling PHOE: You know, if you want, I'll do it with you CHAN: Oh, thanks, but I think she'd feel like we're gangin' up on her PHOE: No, I mean you break up with Janice and I'll break up with Tony ROSS: Tony<|endoftext|>"
52,"<|startoftext|>Written by: Alexa Jung Transcribed by: Eric Aase [Scene: Monica and Rachel's, Monica, Phoebe, Ross, Joey, and Rachel are there, Joey is demonstrating a card trick. Joey: Okay, pick a card, any card. (Monica picks one) All right, now memorize it. Show to everybody. Got it Monica: Um-mm Joey: All right, give it back to me. (takes the card back, but he looks at the card before he puts it back in the deck, he holds the deck to his forehead, and thinks a little while) 5 of hearts (Monica is sarcastically amazed. Ross: Real magic does exist Rachel: Wow Monica: Wow. Joey, (sarcastically) how do you do it Joey: I cant tell you that, no (We hear some knocking coming from the ceiling. Ross: Ah, somebodys at the door on the ceiling Rachel: Noo, thats our unbelievably loud upstairs neighbor Monica: He took up the carpet, and now you can hear everything Phoebe: Why dont you go up there and ask him to step lightly, please Monica: I have like five times, but the guy is so charming, that I go up there to yell and then I end up apologizing to him Phoebe: Ooh, that is silly. (gets up) Ill go up there, Ill tell him to keep it down Monica: All right, be my guest Rachel: Good luck (Phoebe exits Joey: All right, all right, all right, all right, all right, you really wanna know how I did it, Ill show ya. When you handed me back the card, what you didnt see was, I looked at it so fast that it was invisible to the naked eye. (picks up a card and quickly looks at it) I just did it. (does it again) I just did it, again. Here, Ill slow it down so that you guys can see it. (looks and the card in slow motion All: Oh, I got it (We hear Phoebe knock at the door upstairs, and the guy answer it. Phoebe: (muffled through the floor) Yeah, look I was with my friend downstairs and we hear everything up here that you do, and I am sick and tired... (I tired but the rest is unintelligible)<|endoftext|>"
53,"<|startoftext|>Written by: Shana Goldberg-Meehan and Scott Silver Transcribed by: Eric Aase [Scene: Central Perk, Joey, Monica, and Rachel are sitting on the couch and Ross is sitting on the chair, and theyre all talking. Rachel: Hey! Out of all of us, who do you think is gonna get married next Joey: Probably Monica and Chandler (A woman walks up to Gunther in the background. Woman: (to Gunther) Hi. Could I have a pack of Newport Lights, please Gunther: Oh umm, uh we dont sell cigarettes, but they have them at the newsstand across the street. (Points. Woman: Thatd be great, thanks. (Gunther goes and gets them. Rachel: (to the gang) Oh my God, Melissa Warburton. I dont think I have the energy for this Melissa: (Gasps when she notices Rachel) Oh my God! Ray-ray Green?! (Screams Rachel: (screaming) Melissa Melissa: You have been M.I.A for the past seven sorority newsletters, whats up with you? Rachel: Wh(Turns and looks at the gang whos staring)Why dont I tell you over here? (She walks Melissa away from the gang. Melissa: So last I heard you were gonna get married. (Grabs Rachels hand and notices that she doesnt have a ring on it.) (Sadly) Oh poor Ray-ray Rachel: Oh no-no, no! Its good! Its all good! I-I actually work at Ralph Lauren Melissa: Shut up Rachel: I will not! Im the divisional head of mens sportswear Melissa: Oh shut up more! Now, are you friends with Ralph Rachel: Oh pleas Melissa: (excitedly) Are you? Rachel: No Melissa: Listen, we-we have to have dinner. What-what are you doing tomorrow night Rachel: Oh tomorrow, oh I dont know. U Melissa: You do now. Youre having dinner with me<|endoftext|>"
54,"<|startoftext|>Originally written by Doty Abrams Transcribed by guineapig PRE-INTRO SCENE: RACHEL+MONICA'S APARTMENT (ALL PRESENT CHANDLER: I can't believe you would actually say that. I would much rather be Mr.Peanut than Mr.Salty JOEY: No way! Mr.Salty is a sailor, all right, he's got to be, like, thetoughest snack there is ROSS: I don't know, you don't wanna mess with corn nuts. They're craaazy MONICA: (LOOKING OUT OF WINDOW) Oh my God. You guys! You gotta come see this! There's some creep out there with a telescope ROSS: I can't believe it! He's looking right at us RACHEL: Oh, that is so sick CHANDLER: I feel violated. And not in a good way PHOEBE: How can people do that?... (ALL BUT PHOEBE WALK AWAY FROM THE WINDOW IN DISGUST) Oh, you guys, look! Ugly Naked Guy got gravity boots OPENING TITLE SCENE 1: CENTRAL PERK (ALL PRESENT EXCEPT RACHEL CHANDLER: I am telling you, years from now, schoolchildren will study it as one of the greatest first dates of all time. It was unbelievable! We could totally be ourselves, we didn't have to play any games.. MONICA: So have you called her yet CHANDLER: Let her know I like her? What are you, insane? (THE GIRLS MAKE DISGUSTED NOISES) It's the next day! How needy do I want to seem? (TO THE GUYS) I'm right, right JOEY+ROSS: Oh, yeah. Yeah. Let her dangle MONICA: I can't believe my parents are actually pressuring me to find one of you people PHOEBE: Oh, God, just do it! (GETTING PHONE) Call her! Stop being so testosteroney CHANDLER: Which, by the way, is the real San Francisco treat. (CALLS HER, THEN HURRIEDLY HANGS UP) I got her machine JOEY: Her answer machine CHANDLER: No, interestingly enough her leaf blower picked up PHOEBE: So, uh, why didn't you say anything CHANDLER: Oh, no no no no. Last time I left a spontaneous message I ended up using the phrase 'Yes indeedy-o' MONICA: Look look! It's Rachel and Barry. No, don't everybody look at once<|endoftext|>"
55,"<|startoftext|>Written by: Scott Silveri & Shana Goldberg-Meeha Transcribed by: Eric Aase [Scene: Monica and Rachel's, Phoebe is on the phone, Chandler and Monica are sitting in the living room, and Ross is in the kitchen as Rachel enters from her bedroom. Rachel: Oh, Phoebe, are you still on hold? I was supposed to call my Dad back like two hours ago Phoebe: Oh, yeah, he clipped on, he said call him as soon as you get a chance, hes at Flimbys Rachel: Whats Flimbys Phoebe: Oh, yeah, thats the word I use when I cant remember the real thing Rachel: Okay. Hang up! Thats it! Come on Phoebe: No! Rachel, thats what they want me to do. My warranty expires tomorrow, if I dont get through, theyre not gonna fix my crappy, broken phone for free! We cannot let them win! Its us versus them Chandler: Ye-e-es! Joey: (entering) Hey All: Hey Joey: Uh, listen I gotta double check for tickets tonight. Who-who got what Chandler, Phoebe, and Rachel: I had one Monica: I need two. Im bringing Pete. My boyfriend. I have a boyfriend now Joey: Two it is. Ross, how about you Ross: Uh, yeah, I ah, I also need two Monica: Really? Whos number two Chandler: Whos number two? One of the more difficult games sewer workers play Ross: Uh, no, its-its just this person Phoebe: Like a date type (looks at Rachel) person Ross: Yeah, kinda. Its this woman from work. I hope that wont be too weird. Will it, Rach Rachel: No. No, not at all, not at all. I actually was gonna bring someone myself, s Joey: But you said one Rachel: I meant, me plus one<|endoftext|>"
56,"<|startoftext|>Teleplay by: Sherry Bilsing & Ellen Plumme Story by: Seth Kurlan Transcribed by: Eric Aase [Scene: Central Perk, Joey is giving Rachel, Chandler, Phoebe, and Ross their bills. Joey: Okay Rach, that muffin and espresso, $4.50. Ross, double latte, $2.75. Chandler, coffee and a scone, $4.25. And Pheebs, herbal tea, $1.25. So, all together thats (pauses to figure the total) $12.75 Chandler: This coming from the man who couldnt split our 80 dollar phone bill in half (A good-looking woman approaches. Woman: Hi Joey: Hi Woman: How much do I owe you for the muffin and the latte Joey: Oh thats on the house courtesy of Joey Tribbiani Woman: Oh great! Well, tell him thanks. And since uh, Joey seems like such a nice guy, maybe we could go on a date sometime Joey: Well, hes not used to women being so forward with him; but uh, I good check with himHe says its okay. (She hands him her card.) Great! Thanks! Bye-bye Ross: Hey Joey, how come our stuff isnt free Joey: It will be when you look like that in a tight skirt! This is great! Im getting more dates than ever Rachel: Wait a minute, youre only giving free stuff away to the pretty girls Phoebe: Yeah Joey that is so gross Joey: How about a scone on the house baby Phoebe: (giggles) Im pretty Opening Credit [Scene: Monica and Chandler's, everyone but Monica is there playing Monopoly. Ross: Hey does anyone have any gum Phoebe: Oh I do! (She grabs her huge purse and starts rummaging through it and taking out various items in a futile search for the gum.) Oh, yknow what? No. (Pause) Wait a second. (She removes a bag filled with water that has a goldfish swimming in it.) I know its in here somewhere Ross: Yknow what? Im good! Im good Monica: (entering) Hey<|endoftext|>"
